Addition Order,Commande supplémentaire,
Additional Discount,Remise supplémentaire,
Address,Adresse,
Adjust return quantities before submitting.\n\n{0},Ajustez les quantités de retour avant de soumettre.\n\n{0},
Administrator,Administrateur,
Advanced,Avancé,
Advanced Settings,Paramètres avancés,
After returns,Après retours,
Against: {0},Contre : {0},
All,Tout,
All ({0}),Tous ({0}),
All Areas,Toutes les zones,
All Brands,Toutes les marques,
All Items,Tous les articles,
All Status,Tous les statuts,
All Statuses,Tous les statuts,
All Territories,Tous les territoires,
All Types,Tous les types,
All cached data has been cleared successfully,Toutes les données en cache ont été effacées avec succès,
All cards,Toutes les cartes,
All draft invoices deleted,Tous les brouillons de factures supprimés,
All invoices are either fully paid or unpaid,"Toutes les factures sont soit entièrement payées, soit impayées",
All invoices are fully paid,Toutes les factures sont entièrement payées,
All items are either being prepared or have been delivered.,Tous les articles sont en préparation ou ont été livrés.,
All items from this invoice have already been returned,Tous les articles de cette facture ont déjà été retournés,
All items in these groups will be routed to this station (unless individually assigned to another).,Tous les articles de ces groupes seront dirigés vers ce poste (sauf ceux assignés individuellement à un autre).,
All items loaded,Tous les articles chargés,
All items removed from cart,Tous les articles ont été retirés du panier,
All sales persons selected,Tous les vendeurs sélectionnés,
All servers,Tous les serveurs,
All stock operations will use this warehouse. Stock quantities will refresh after saving.,Toutes les opérations de stock utiliseront cet entrepôt. Les quantités en stock seront actualisées après l'enregistrement.,
All tables,Toutes les tables,
Allergen,Allergène,
Allergens & Badges,Allergènes & badges,
"Allergies, birthday, high chair...","Allergies, anniversaire, chaise haute...",
Allow Account Creation,Autoriser la création de compte,
Allow Additional Discount,Autoriser la remise supplémentaire,
Allow Change Posting Date,Autoriser le changement de date de comptabilisation,
Allow Create Sales Order,Autoriser la création de commande client,
Allow Credit Sale,Autoriser la vente à crédit,
Allow Customer Credit Payment,Autoriser le paiement à crédit client,
Allow Customer Purchase Order,Autoriser les commandes d'achat client,
Allow Delete Offline Invoice,Autoriser la suppression de facture hors ligne,
Allow Duplicate Customer Names,Autoriser les noms de clients en double,
Allow Edit,Autoriser la modification,
Allow Free Batch Return,Autoriser le retour de lot libre,
Allow Item Discount,Autoriser la remise sur article,
Allow Negative Stock,Autoriser le stock négatif,
Allow Partial Payment,Autoriser le paiement partiel,
Allow Print Draft Invoices,Autoriser l'impression de factures brouillon,
Allow Print Last Invoice,Autoriser l'impression de la dernière facture,
Allow Return,Autoriser les retours,
Allow Return Without Invoice,Autoriser le retour sans facture,
Allow Select Sales Order,Autoriser la sélection de commande client,
Allow Submissions in Background Job,Autoriser les soumissions en tâche de fond,
Allow User To Edit Rate,Autoriser la modification du prix,
Allow Write Off Change,Autoriser la passation en perte de la monnaie,
Allow customers to buy on credit (negative balance/debt),Autoriser les clients à acheter à crédit (solde négatif/dette),
Allow customers to create an account from the display screen,Autoriser les clients à créer un compte depuis l'écran d'affichage,
Allow customers to order online for pickup via /pos/order,Permettre aux clients de commander en ligne pour retrait via /pos/order,
Allow customers to scan a QR code on the table to order and pay from their phone,Permettre aux clients de scanner un QR code sur la table pour commander et payer depuis leur téléphone,
Allow customers to use their positive credit balance (from returns/overpayments) as payment,Autoriser les clients à utiliser leur solde créditeur positif (provenant de retours/trop-perçus) comme moyen de paiement,
Allow editing item rate in cart. Disabled when offers are applied.,Autoriser la modification du prix dans le panier. Désactivé lorsque des offres sont appliquées.,
Allow user to edit item rate in cart. Rate editing is automatically disabled when promotional offers are applied to an item.,Autoriser l'utilisateur à modifier le prix de l'article dans le panier. La modification du prix est automatiquement désactivée lorsque des offres promotionnelles sont appliquées à un article.,
Allowed Languages,Langues autorisées,
Already paid,Déjà payé,
Already paid (guest),Déjà payé (invité),
Always available,Toujours disponible,
Always use this workflow for,Toujours utiliser ce workflow pour,
"Always visible in POS, regardless of time slots","Toujours visible dans le POS, indépendamment des créneaux horaires",
Amended From,Modifié depuis,
Amount,Montant,
Amount Details,Détails du montant,
Amount in {0},Montant en {0},
Amount must be greater than zero,Le montant doit être supérieur à zéro,
Amount to Credit:,Montant à créditer :,
Amount to pay,Montant à payer,
Amount to take out,Montant à retirer,
Amount withdrawn from the cash register at closing,Montant retiré de la caisse à la clôture,
Amount:,Montant :,
An error occurred,Une erreur s'est produite,
An error occurred. Please try again.,Une erreur est survenue. Veuillez réessayer.,
An item with code '{0}' already exists,Un article avec le code « {0} » existe déjà,
An unexpected error occurred,Une erreur inattendue s'est produite,
An unexpected error occurred.,Une erreur inattendue s'est produite.,
Anonymous,Anonyme,
Applicable Item Groups,Groupes d'articles applicables,
Applicable Items,Articles applicables,
Applicable Products,Produits applicables,
Applied,Appliqué,
Applies to,S'applique à,
Applies to item groups,S'applique aux groupes d'articles,
Apply,Appliquer,
Apply Discount On,Appliquer la remise sur,
Apply For,Appliquer pour,
Apply On,Appliquer sur,
Apply On is required,"Le champ ""Appliquer sur"" est requis",
Apply Referral Code Failed,Échec de l'application du code de parrainage,
Apply Rule On Brand,Appliquer la règle sur la marque,
Apply Rule On Item Code,Appliquer la règle sur le code article,
Apply Rule On Item Group,Appliquer la règle sur le groupe d'articles,
Apply Type,Type d'application,
Apply coupon code,Appliquer le code coupon,
Apply this option group to all items in these groups,Appliquer ce groupe d'options à tous les articles de ces groupes,
Are you sure you want to delete &lt;strong&gt;&quot;{0}&quot;&lt;strong&gt;?,Êtes-vous sûr de vouloir supprimer &lt;strong&gt;&quot;{0}&quot;&lt;strong&gt; ?,
Are you sure you want to delete this area?,Êtes-vous sûr de vouloir supprimer cette zone ?,
Are you sure you want to delete this offline invoice?,Êtes-vous sûr de vouloir supprimer cette facture hors ligne ?,
Are you sure you want to delete this table?,Êtes-vous sûr de vouloir supprimer cette table ?,
Are you sure you want to sign out of Neopos?,Êtes-vous sûr de vouloir vous déconnecter de Neopos ?,
Area,Zone,
Area Name,Nom de la zone,
Area created,Zone créée,
Area deleted,Zone supprimée,
Area not found,Zone introuvable,
Area renamed,Zone renommée,
At least one payment is required,Au moins un paiement est requis,
At least one payment method is required,Au moins un mode de paiement est requis,
At least one step is required in a workflow.,Au moins une étape est requise dans un workflow.,
At least {0} eligible items required,Au moins {0} articles éligibles requis,
Authentication required,Authentification requise,
Auto,Auto,
Auto Apply,Application automatique,
Auto Create Wallet,Création automatique du portefeuille,
Auto Fetch Coupon Gifts,Récupération automatique des cadeaux coupon,
Auto Set Delivery Charges,Frais de livraison automatiques,
Auto-Add ON - Type or scan barcode,Ajout auto ACTIVÉ - Tapez ou scannez un code-barres,
Auto-Add: OFF - Click to enable automatic cart addition on Enter,Ajout auto : DÉSACTIVÉ - Cliquez pour activer l'ajout automatique au panier avec Entrée,
Auto-Add: ON - Press Enter to add items to cart,Ajout auto : ACTIVÉ - Appuyez sur Entrée pour ajouter des articles au panier,
Auto-Sync:,Synchro auto :,
Auto-created when tips are enabled,Créé automatiquement lorsque les pourboires sont activés,
Auto-detect tip from overpayment,Détection automatique du pourboire sur trop-perçu,
Auto-generated Pricing Rule for discount application,Règle de tarification générée automatiquement pour l'application de la remise,
Auto-generated from name,Généré automatiquement à partir du nom,
Auto-generated if empty,Auto-généré si vide,
Automatically apply eligible coupons,Appliquer automatiquement les coupons éligibles,
Automatically calculate delivery fee,Calculer automatiquement les frais de livraison,
Automatically convert earned loyalty points to wallet balance. Uses Conversion Factor from Loyalty Program (always enabled when loyalty program is active),Convertir automatiquement les points de fidélité acquis en solde de portefeuille. Utilise le facteur de conversion du programme de fidélité (toujours actif quand le programme de fidélité est activé),
Automatically create wallet for new customers (always enabled when loyalty program is active),Créer automatiquement un portefeuille pour les nouveaux clients (toujours actif quand le programme de fidélité est activé),
Automatically detect tips when customers pay more than the invoice total,Détecter automatiquement les pourboires lorsque les clients paient plus que le montant de la facture,
"Automatically set taxes as included in item prices. When enabled, displayed prices include tax amounts.","Configurer automatiquement les taxes comme incluses dans les prix des articles. Lorsque activé, les prix affichés incluent les montants de taxe.",
Availability,Disponibilité,
Available,Disponible,
Available Balance,Solde disponible,
Available From,Disponible à partir de,
Available Gift Cards ({0}),Cartes cadeaux disponibles ({0}),
Available Offers,Offres disponibles,
Available To,Disponible jusqu'à,
Avg Efficiency,Efficacité moy.,
Avg Efficiency %,Efficacité moy. %,
Avg Invoice Value,Valeur moy. facture,
Avg Rate,Taux moyen,
Avg Sales/Shift,Ventes moy./service,
Avg Ticket,Ticket moyen,
BALANCE DUE:,SOLDE DÛ :,
Back,Retour,
Back to Neoffice,Retour à Neoffice,
Back to POS,Retour au POS,
Background,Arrière-plan,
Background Stock Sync,Synchronisation du stock en arrière-plan,
Background image uploaded,Image de fond téléchargée,
Badge,Badge,
Badge Name,Nom du badge,
Badge Type,Type de badge,
Badges & Allergens,Badges & allergènes,
Badges saved,Badges enregistrés,
Balance,Solde,
Balance Information,Informations sur le solde,
Balance available for redemption (after pending transactions),Solde disponible pour utilisation (après les transactions en cours),
Bar,Bar,
Barcode,Code-barres,
Barcode Rule,Règle de code-barres,
Barcode Rules,Règles de codes-barres,
Barcode Scanner: OFF (Click to enable),Scanner de codes-barres : DÉSACTIVÉ (Cliquez pour activer),
Barcode Scanner: ON (Click to disable),Scanner de codes-barres : ACTIVÉ (Cliquez pour désactiver),
Barcode scanning works for cached items,La lecture de code-barres fonctionne pour les articles en cache,
Basic Information,Informations de base,
Body,Corps,
Body Font,Police du corps de texte,
Book Now,Réserver maintenant,
Book a Table,Réserver une table,
Both invoice and data parameters are missing,Les paramètres facture et données sont tous deux manquants,
Brand,Marque,
Brands,Marques,
Buying Rate,Prix d'achat,
By Channel,Par canal,
By Station,Par poste,
By Status,Par statut,
By Table,Par table,
Cache,Cache,
Cache empty,Cache vide,
Cache ready,Cache prêt,
Cache syncing,Synchronisation du cache,
Calculating totals and reconciliation...,Calcul des totaux et rapprochement...,
Campaign,Campagne,
"Can not filter based on Cashier, if grouped by Cashier",Impossible de filtrer par caissier si le regroupement est par caissier,
"Can not filter based on Customer, if grouped by Customer",Impossible de filtrer par client si le regroupement est par client,
"Can not filter based on POS Profile, if grouped by POS Profile",Impossible de filtrer par profil de caisse si le regroupement est par profil de caisse,
"Can not filter based on Payment Method, if grouped by Payment Method",Impossible de filtrer par moyen de paiement si le regroupement est par moyen de paiement,
Cancel,Annuler,
Cancelled,Annulé,
Cancelled Wallet Transaction {0} due to return,Transaction portefeuille {0} annulée suite au retour,
Cancelled {0} credit redemption journal entries,Annulé {0} écritures comptables de remboursement de crédit,
Cancelling payment...,Annulation du paiement...,
Cannot add more non-cash payments. Use cash for overpayment.,Impossible d'ajouter d'autres paiements non-espèces. Utilisez les espèces pour le surplus.,
Cannot add payment to cancelled invoice,Impossible d'ajouter un paiement à une facture annulée,
Cannot change status from {0} to {1},Impossible de changer le statut de {0} à {1},
Cannot clear cache while offline,Impossible de vider le cache hors ligne,
Cannot create a reservation in the past,Impossible de créer une réservation dans le passé,
Cannot create return against a return invoice,Impossible de créer un retour sur une facture de retour,
Cannot delete an occupied table. Clear the order first.,Impossible de supprimer une table occupée. Videz d'abord la commande.,
Cannot delete area with {0} tables assigned,Impossible de supprimer une zone avec {0} tables assignées,
Cannot delete coupon {0} as it has been used {1} times,Impossible de supprimer le coupon {0} car il a été utilisé {1} fois,
Cannot delete submitted invoice {0},Impossible de supprimer la facture soumise {0},
Cannot process return for this invoice,Impossible de traiter le retour pour cette facture,
Cannot remove last serial,Impossible de retirer le dernier numéro de série,
Cannot save an empty cart as draft,Impossible d'enregistrer un panier vide comme brouillon,
Cannot sync while offline,Impossible de synchroniser hors ligne,
Cannot verify password offline. No cached credentials available.,Impossible de vérifier le mot de passe hors ligne. Aucune information d'identification en cache disponible.,
Capacity,Capacité,
Card,Carte,
Card Balance,Solde de la carte,
Card Items,Articles de la carte,
Card Name,Nom de la carte,
Card Price,Prix carte,
Card active,Carte activée,
Card created,Carte créée,
Card deleted,Carte supprimée,
Card duplicated,Carte dupliquée,
Card inactive,Carte désactivée,
Card name,Nom de la carte,
Card renamed,Carte renommée,
Card saved,Carte enregistrée,
Cards,Cartes,
Cards to Include,Cartes à inclure,
Cart,Panier,
Cart Items,Articles du panier,
Cart does not contain eligible items for this offer,Le panier ne contient pas d'articles éligibles pour cette offre,
Cart does not contain items from eligible brands,Le panier ne contient pas d'articles de marques éligibles,
Cart does not contain items from eligible groups,Le panier ne contient pas d'articles de groupes éligibles,
Cart is empty,Le panier est vide,
Cart subtotal BEFORE tax - used for discount calculations,Sous-total du panier AVANT taxes - utilisé pour le calcul des remises,
Cart subtotal BEFORE tax - used for regular coupon discount calculations,Sous-total du panier AVANT taxes - utilisé pour les calculs de remise coupon standard,
Cash,Espèces,
Cash Counted,Espèces comptées,
Cash In,Entrée de caisse,
Cash In/Out,Entrées/Sorties de caisse,
Cash Management,Gestion des espèces,
Cash Out,Sortie de caisse,
Cash Over,Excédent de caisse,
Cash Refund,Remboursement en espèces,
Cash Refund:,Remboursement en espèces :,
Cash Short,Déficit de caisse,
Cash Withdrawal,Retrait d'espèces,
Cash Withdrawal Amount,Montant du retrait en espèces,
Cash Withdrawn,Espèces retirées,
Cashier,Caissier,
Cashier Name,Nom du caissier,
Cashier Performance Report,Rapport de performance des caissiers,
Category,Catégorie,
Category Name,Nom de la catégorie,
Certificate already exists. You can download it below.,Le certificat existe déjà. Vous pouvez le télécharger ci-dessous.,
Certificate generated successfully.,Certificat généré avec succès.,
Certificate is installed and signing is active. Print jobs will be sent silently without confirmation dialogs.,Le certificat est installé et la signature est active. Les impressions seront envoyées silencieusement sans boîte de dialogue.,
"Certificate is not installed on this machine. Generate a certificate, download it, and import it into QZ Tray.","Le certificat n'est pas installé sur cette machine. Générez un certificat, téléchargez-le et importez-le dans QZ Tray.",
Certificate not found. Generate it first.,Certificat introuvable. Générez-le d'abord.,
Change API Key,Changer la clé API,
Change Due,Monnaie à rendre,
Change Profile,Changer de profil,
Change sales person,Changer de vendeur,
Change:,Monnaie :,
Changes the price list in ERPNext,Modifie la liste de prix dans ERPNext,
Channel,Canal,
Chart View,Vue graphique,
Check Availability in All Wherehouses,Vérifier la disponibilité dans tous les entrepôts,
Check availability in other warehouses,Vérifier la disponibilité dans d'autres entrepôts,
Check your spam folder if you don't see the email.,Vérifiez votre dossier spam si vous ne voyez pas l'e-mail.,
Check-in,Enregistrement,
Checking Stock...,Vérification du stock...,
Checking warehouse availability...,Vérification de la disponibilité en entrepôt...,
Checking...,Vérification...,
Checkout,Paiement,
Choose a POS profile...,Choisir un profil POS...,
"Choose a coupon from the list to view and edit, or create a new one to get started","Choisissez un coupon dans la liste pour le voir et le modifier, ou créez-en un nouveau pour commencer",
"Choose a promotion from the list to view and edit, or create a new one to get started","Choisissez une promotion dans la liste pour la voir et la modifier, ou créez-en une nouvelle pour commencer",
Choose a table to begin the order,Choisissez une table pour commencer la commande,
Choose a variant of this item:,Choisissez une variante de cet article :,
City,Ville,
Cleaning,Nettoyage,
Clear,Effacer,
Clear & Switch,Vider et changer,
Clear All,Tout effacer,
Clear All Drafts?,Effacer tous les brouillons ?,
Clear Cache,Vider le cache,
Clear Cache?,Vider le cache ?,
Clear Cart?,Vider le panier ?,
Clear all,Tout effacer,
Clear all cached data,Effacer toutes les données en cache,
Clear all items,Supprimer tous les articles,
Clear all payments,Supprimer tous les paiements,
Clear color,Effacer la couleur,
Clear search,Effacer la recherche,
Clear selection,Effacer la sélection,
Clearing Cache...,Vidage du cache...,
Click here to confirm,Cliquez ici pour confirmer,
Click to change unit,Cliquez pour changer d'unité,
Click to disable restaurant mode,Cliquez pour désactiver le mode restaurant,
Click to enable restaurant mode,Cliquez pour activer le mode restaurant,
Close,Fermer,
Close & Open New,Fermer et ouvrir nouveau,
Close (shows again next session),Fermer (réapparaît à la prochaine session),
Close POS Shift,Fermer la session POS,
Close Shift,Fermer la session,
Close Shift & Sign Out,Fermer la session et se déconnecter,
Close current shift,Fermer la session actuelle,
Close your shift first to save all transactions properly,Fermez d'abord votre session pour enregistrer toutes les transactions correctement,
Closed,Fermé,
Closing,Clôture,
Closing Amount,Montant de clôture,
Closing Shift...,Fermeture de la session...,
Closing Withdrawal Template,Modèle de retrait à la clôture,
Code,Code,
Code copied to clipboard,Code copié dans le presse-papiers,
Code is case-insensitive,Le code n'est pas sensible à la casse,
Collected,Collecté,
Color,Couleur,
Colors,Couleurs,
Columns,Colonnes,
Coming Next,À suivre,
Company,Société,
Company is required,La société est requise,
Company name,Nom de l'entreprise,
Company not set in POS Profile {0},Société non définie dans le profil POS {0},
Complete Payment,Finaliser le paiement,
Complete Sales Order,Finaliser le bon de commande,
Completed,Terminé,
Configuration,Configuration,
Configure opening hours and card availability,Configurer les horaires d'ouverture et la disponibilité des cartes,
"Configure pricing, discounts, and sales operations","Configurer les prix, les remises et les opérations de vente",
Configure schedule in Settings,Configurer les horaires dans les Paramètres,
Configure warehouse and inventory settings,Configurer les paramètres d'entrepôt et de stock,
Confirm,Confirmer,
Confirm Partial Payment,Confirmer le paiement partiel,
Confirm Sign Out,Confirmer la déconnexion,
Confirm your reservation - {0},Confirmez votre réservation - {0},
Confirmed,Confirmé,
Connect,Connecter,
Connect to the internet to load invoices,Connectez-vous à Internet pour charger les factures,
Connected,Connecté,
Connecting to QZ Tray...,Connexion à QZ Tray...,
Connecting...,Connexion...,
Connection Error,Erreur de connexion,
Continue,Continuer,
Convert Loyalty Points to Wallet,Convertir les points de fidélité en portefeuille,
Convert to tip,Convertir en pourboire,
Copy Code,Copier le code,
Copy to clipboard,Copier dans le presse-papiers,
Cost Center,Centre de coûts,
Could not create wallet for customer {0},Impossible de créer un portefeuille pour le client {0},
Could not determine cash account for {0},Impossible de déterminer le compte d'espèces pour {0},
Could not determine payment account for {0}. Please specify payment_account parameter.,Impossible de déterminer le compte de paiement pour {0}. Veuillez spécifier le paramètre payment_account.,
Could not find parent account 2210 or 220. Please set the tip account manually.,Impossible de trouver le compte parent 2210 ou 220. Veuillez définir le compte de pourboire manuellement.,
Could not parse '{0}' as JSON: {1},Impossible d'analyser '{0}' en JSON : {1},
Could not verify password. Please try again.,Impossible de vérifier le mot de passe. Veuillez réessayer.,
Count & enter,Compter et entrer,
Country,Pays,
Coupon,Coupon,
Coupon Applied Successfully!,Coupon appliqué avec succès !,
Coupon Based,Basé sur un coupon,
Coupon Code,Code coupon,
Coupon Code Based,Basé sur un code coupon,
Coupon Description,Description du coupon,
Coupon Details,Détails du coupon,
Coupon Name,Nom du coupon,
Coupon Status & Info,Statut et info du coupon,
Coupon Type,Type de coupon,
Coupon Valid Days,Jours de validité du coupon,
Coupon created successfully,Coupon créé avec succès,
Coupon deleted successfully,Coupon supprimé avec succès,
Coupon name is required,Le nom du coupon est requis,
Coupon status updated successfully,Statut du coupon mis à jour avec succès,
Coupon type is required,Le type de coupon est requis,
Coupon updated successfully,Coupon mis à jour avec succès,
Coupon {0} created successfully,Coupon {0} créé avec succès,
Coupon {0} has no linked Pricing Rule,Le coupon {0} n'a pas de règle de prix associée,
Coupon {0} not found,Coupon {0} non trouvé,
Coupon {0} updated successfully,Coupon {0} mis à jour avec succès,
Coupon {0} {1},Coupon {0} {1},
Coupons,Coupons,
Course Name,Nom du plat,
Courses,Plats,
Cover page with logo,Page de couverture avec logo,
Create,Créer,
Create '{0}',Créer '{0}',
Create Account,Créer un compte,
Create Customer,Créer un client,
Create Gift Card,Créer une carte cadeau,
Create Item,Créer un article,
Create New Coupon,Créer un nouveau coupon,
Create New Customer,Créer un nouveau client,
Create New Item,Créer un nouvel article,
Create New Promotion,Créer une nouvelle promotion,
Create Only Sales Order,Créer uniquement une commande client,
Create Return,Créer un retour,
Create Return Invoice,Créer une facture de retour,
Create an account,Créer un compte,
Create an account for next time,Créer un compte pour la prochaine fois,
Create an account to earn loyalty points,Créer un compte pour gagner des points de fidélité,
Create new customer,Créer un nouveau client,
Create new customer: {0},Créer un nouveau client : {0},
Create new item,Créer un nouvel article,
Create permission required,Permission de création requise,
Create your first customer to get started,Créez votre premier client pour commencer,
Created By,Créé par,
Created On,Créé le,
Created tip item: TIP,Article pourboire créé : TIP,
Created tip transit account: {0},Compte de transit pourboire créé : {0},
Created wallet debit of {0} for partial return {1},Débit portefeuille de {0} créé pour le retour partiel {1},
Credit,Crédit,
Credit Adjustment:,Ajustement de crédit :,
Credit Balance,Solde créditeur,
Credit Sale,Vente à crédit,
Credit Sale Return,Retour de vente à crédit,
Credit source invoice {0} not found or not submitted,Facture source de crédit {0} introuvable ou non soumise,
Credit source {0} does not belong to company {1},La source de crédit {0} n'appartient pas à l'entreprise {1},
Credit source {0} does not belong to customer {1},La source de crédit {0} n'appartient pas au client {1},
Credited {0} to customer wallet for return {1},{0} crédité au portefeuille client pour le retour {1},
Current Balance,Solde actuel,
Current Discount:,Remise actuelle :,
Current Status,Statut actuel,
Current Stock,Stock actuel,
Current available balance on this gift card,Solde actuellement disponible sur cette carte cadeau,
Custom,Personnalisé,
Custom CSS,CSS personnalisé,
Customer,Client,
Customer Credit:,Crédit client :,
Customer Display,Affichage client,
Customer Error,Erreur client,
Customer Group,Groupe de clients,
Customer Name,Nom du client,
Customer Name is required,Le nom du client est requis,
Customer Settings,Paramètres client,
Customer created from display:,Client créé depuis l'affichage :,
Customer is required,Le client est requis,
Customer name is required,Le nom du client est requis,
Customer {0} created successfully,Client {0} créé avec succès,
Customer {0} not found.,Client {0} introuvable.,
Customer {0} selected,Client {0} sélectionné,
Customer {0} updated successfully,Client {0} mis à jour avec succès,
Customer:,Client :,
Customer: {0},Client : {0},
Customers,Clients,
Daily Sales,Ventes quotidiennes,
Data is ready for offline use,Les données sont prêtes pour une utilisation hors ligne,
Date,Date,
Date & Time,Date et heure,
Date:,Date :,
Day,Jour,
Days,Jours,
Days Since Purchase,Jours depuis l'achat,
Days to Stockout,Jours avant rupture,
"Dear {0},

Please find attached your invoice {1} for {2} {3}.

Thank you for your business.","Cher/Chère {0},

Veuillez trouver ci-joint votre facture {1} d'un montant de {2} {3}.

Merci pour votre confiance.",
Debit,Débit,
Decimal Precision,Précision décimale,
Decrease quantity,Diminuer la quantité,
Default,Par défaut,
Default Card View,Vue carte par défaut,
Default Loyalty Program,Programme de fidélité par défaut,
Default Reservation Duration,Durée de réservation par défaut,
Default Restaurant Area,Zone de restaurant par défaut,
Default Restaurant Mode,Mode restaurant par défaut,
Default workflow updated,Workflow par défaut mis à jour,
